Title,Rating,Info,None
Car Driving Online,5,Open-world car racing game,
Virtual Towers Online,4.5,Visit the theme park for free in this virtual world,
Candy Crush Saga Online,4.4,A sweet challange to keep you busy for hours,
FIFA World,3.7,Free online football games with FIFA World,
1v1.LOL - Online Building  Shooting Simulator,4.8,Build the ultimate fortress,
EA SPORTS FIFA 16 Companion,4.1,Manage your FIFA 16 Ultimate Team online, and more!,
Football Challenge 2009,3.7,Free 3D online football simulator,
Critical Strike CS: Counter Terrorist Online FPS,4.2,Critical Strike CS: Counter Terrorist Online FPS for android from VERTIGO GAMES OÜ,
Sword Art Online: Integral Factor,4.4,A free app for Android, by Bandai Namco Entertainment Inc..,
Teen Patti Ishq - Online Poker,4.3,A free Indian poker game,
RummyCircle - Play Indian Rummy Online  Card Game,4.7,Free Indian card game,
WinBoard,3.8,A classic 2D chess game with support for online games,
Rummy Grand - Game Online,5,A full version program for Android, by Rahul pradhap.,
Pokéone,4.5,Free 3D online Pokémon game,
War Robots,4.5,A free PVP online shooter with robots,
Frolic: Play  Win Cash Online,4.2,A free program for Android, by Frolic Live.,
Company of Heroes 2,3.6,A WW2 RTS game with online multiplayer,
Domino Cafe - Online,4.4,A free program for Android, by Higgs Gaming.,
Critical Ops: Online Multiplayer FPS Shooting Game,4.1,A Free game for Android‚ by Critical Force Ltd.,
RAN Online,3.8,A modern school of magic,
Wolf Team,4,Multiplayer online action game starring werewolves,
Pet Rescue Saga Online ,4.7,Match blocks and save animals in Pet Rescue Saga Online,
GameSpy Arcade,3.2,Find game servers and your friends online,
Ghost Watchers,4.3,Cooperative online role-playing horror game,
